"t","smoothMedian","smooth5","smooth95","date","pop","sens","spec","rpos","n_tested","p_infected","p_tested","p_infected_tested","p_tested_infected"
235,572.419756501029,432.723039667733,783.400379625455,"2021-08-24",3571000,0.7,0.999,0.028,17057,0.00016029676743238,0.0047651443571346,0.0386266094420601,1.14825378556507
236,565.504037781093,437.423273577251,770.173124604349,"2021-08-25",3571000,0.7,0.999,0.028,17314,0.000158360133794761,0.00483676748513118,0.0386266094420601,1.17976617052086
237,580.487011869542,445.432346923735,746.993661150727,"2021-08-26",3571000,0.7,0.999,0.028,17571,0.000162555870027875,0.00490838545869354,0.0386266094420601,1.16633307718467
238,567.184035973912,455.143563275109,713.271494188698,"2021-08-27",3571000,0.7,0.999,0.028,17829,0.000158830589743465,0.00498027691723013,0.0386266094420601,1.21117230443999
239,546.552230731768,457.512670800517,673.633540872649,"2021-08-28",3571000,0.7,0.999,0.028,18086,0.000153052990963811,0.00505188456298467,0.0386266094420601,1.27496477352031
240,538.603503683173,445.333791230427,639.07925558886,"2021-08-29",3571000,0.7,0.999,0.028,18343,0.000150827080280922,0.00512348705541932,0.0386266094420601,1.31211804340792
241,472.698207515057,418.891841949051,610.702568600582,"2021-08-30",3571000,0.7,0.999,0.028,18600,0.000132371382670136,0.00519508439490501,0.0386266094420601,1.51595074322517
242,456.756136503309,395.04223863292,591.610339432066,"2021-08-31",3571000,0.7,0.999,0.0281428571428571,18571,0.000127907067068975,0.00518700557559948,0.0388309830369916,1.57470990567135
243,438.91681896573,374.418547140243,581.802568083311,"2021-09-01",3571000,0.7,0.999,0.0282857142857143,18543,0.000122911458685447,0.00517920527401639,0.0390353566319232,1.6448598617527
244,422.135175719815,357.020767471021,578.361924920988,"2021-09-02",3571000,0.7,0.999,0.0284285714285714,18514,0.000118212034645706,0.00517112632575645,0.0392397302268547,1.71652237100751
245,424.158202379332,343.228729521771,581.313046215042,"2021-09-03",3571000,0.7,0.999,0.0285714285714286,18486,0.000118778550092224,0.00516332589966462,0.0394441038217863,1.714642607558
246,435.857870724863,351.764223534296,588.575753861844,"2021-09-04",3571000,0.7,0.999,0.0287142857142857,18457,0.000122054850385008,0.00515524682244817,0.0396484774167177,1.67463797278595
247,455.057652382367,382.627249508595,600.542394900751,"2021-09-05",3571000,0.7,0.999,0.0288571428571429,18429,0.000127431434439195,0.00514744627184549,0.0398528510116494,1.60981009328756
248,507.63311433865,421.030335301666,615.036061572691,"2021-09-06",3571000,0.7,0.999,0.029,18400,0.000142154330534486,0.00513936706567042,0.0400572246065808,1.44820618627078
249,555.305984773521,450.406543107138,631.983035846602,"2021-09-07",3571000,0.7,0.999,0.0285714285714286,18271,0.000155504336256937,0.00510342773279049,0.0394441038217863,1.29449852129247
250,575.586686611816,470.232888228376,651.869845594318,"2021-09-08",3571000,0.7,0.999,0.0281428571428571,18143,0.000161183614285023,0.00506776571613976,0.0388309830369916,1.22088293795727
251,586.797185342637,480.509370665381,674.691813898625,"2021-09-09",3571000,0.7,0.999,0.0277142857142857,18014,0.000164322930647616,0.00503182379666156,0.038217862252197,1.17029040305111
252,607.406776738748,489.941745071224,700.458294593954,"2021-09-10",3571000,0.7,0.999,0.0272857142857143,17886,0.000170094308803906,0.00499615921337138,0.0376047414674024,1.10455944628582
253,615.099377164149,488.852473034956,715.722875666271,"2021-09-11",3571000,0.7,0.999,0.0268571428571429,17757,0.000172248495425413,0.00496021470710883,0.0369916206826079,1.06524228555086
254,596.339246386147,473.981267312482,719.919387832793,"2021-09-12",3571000,0.7,0.999,0.0264285714285714,17629,0.000166995028391528,0.00492454755699456,0.0363784998978132,1.07277237247376
255,582.303505143188,458.403696145086,714.13080858934,"2021-09-13",3571000,0.7,0.999,0.026,17500,0.000163064549185995,0.00488860046376149,0.0357653791130186,1.07222967708989
